Data,Method,Measure,Value
German_Data,b,ambiguity,0.31
German_Data,b,discrepancy,0.183
German_Data,b,disagreement,"DescribeResult(nobs=378, minmax=(0.0, 0.16), mean=0.06114417989417989, variance=0.0018649174859304166, skewness=0.29687641076060534, kurtosis=-0.726602787755708)"
German_Data,c,variance in predictions,"DescribeResult(nobs=200, minmax=(4.7542763537549e-05, 0.059282613996636147), mean=0.00886040493500023, variance=8.32123878038448e-05, skewness=2.1484215912775992, kurtosis=6.879773726560778)"
German_Data,c,ambiguity,0.235
German_Data,c,discrepancy,0.155
German_Data,c,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.18), mean=0.06723214285714287, variance=0.0021135830026455028, skewness=0.7211536758983271, kurtosis=-0.3233015858558064)"
German_Data,d,variance in predictions,"DescribeResult(nobs=200, minmax=(5.0357954919814696e-05, 0.04808464822676961), mean=0.006587047380326454, variance=3.539272441439855e-05, skewness=2.405122696727735, kurtosis=11.956143622455125)"
German_Data,d,ambiguity,0.183
German_Data,d,discrepancy,0.117
German_Data,d,disagreement,"DescribeResult(nobs=21, minmax=(0.0, 0.125), mean=0.04833333333333334, variance=0.0017133333333333334, skewness=0.564265871057558, kurtosis=-1.1995755814338602)"
Folk_Income_Data,M,variance in predictions,"DescribeResult(nobs=19785, minmax=(0.0017817079217861808, 0.14079055343224411), mean=0.024187894914080462, variance=0.00017858666929780685, skewness=2.6948444106850347, kurtosis=11.806523226815159)"
Folk_Income_Data,M,ambiguity,0.469
Folk_Income_Data,M,discrepancy,0.352
Folk_Income_Data,M,disagreement,"DescribeResult(nobs=36, minmax=(0.0, 0.37604245640636846), mean=0.15164757251565442, variance=0.013478779540789302, skewness=0.6658831494256707, kurtosis=-0.7645146040620823)"
Folk_Income_Data,a,variance in predictions,"DescribeResult(nobs=19785, minmax=(0.0005341856852922588, 0.08540506406431625), mean=0.009558614646542618, variance=7.031958100880227e-05, skewness=2.205283885628022, kurtosis=8.240512039700764)"
Folk_Income_Data,a,ambiguity,0.381
Folk_Income_Data,a,discrepancy,0.213
Folk_Income_Data,a,disagreement,"DescribeResult(nobs=2556, minmax=(0.0, 0.1995451099317665), mean=0.06428590920470173, variance=0.002166473905807102, skewness=0.4499715183695789, kurtosis=-0.5464378493742559)"
Folk_Income_Data,b,variance in predictions,"DescribeResult(nobs=19785, minmax=(2.2625556972616558e-05, 0.080648654772239), mean=0.008261110831603387, variance=6.413367319803747e-05, skewness=2.184740868141425, kurtosis=7.5141119840593475)"
Folk_Income_Data,b,ambiguity,0.307
Folk_Income_Data,b,discrepancy,0.182
Folk_Income_Data,b,disagreement,"DescribeResult(nobs=630, minmax=(0.0, 0.19423805913570888), mean=0.05577365408297933, variance=0.0022599406682411167, skewness=0.5667888849296685, kurtosis=-0.5510010060226915)"
Folk_Income_Data,c,variance in predictions,"DescribeResult(nobs=19785, minmax=(0.0006248954813551369, 0.11364372728550334), mean=0.01160500843943072, variance=0.0001579275885036476, skewness=2.2462790307940614, kurtosis=7.641136711228464)"
Folk_Income_Data,c,ambiguity,0.271
Folk_Income_Data,c,discrepancy,0.167
Folk_Income_Data,c,disagreement,"DescribeResult(nobs=36, minmax=(0.0, 0.14392216325499116), mean=0.08068752983461096, variance=0.002113317966670333, skewness=-0.3008128058433573, kurtosis=-1.0553264010974608)"
Folk_Income_Data,d,variance in predictions,"DescribeResult(nobs=19785, minmax=(3.503194526315942e-14, 0.1236064463690435), mean=0.002857383701294136, variance=5.1138309179560965e-05, skewness=8.294282932031916, kurtosis=97.90301334201573)"
Folk_Income_Data,d,ambiguity,0.075
Folk_Income_Data,d,discrepancy,0.069
Folk_Income_Data,d,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.024892595400555977), mean=0.014131376583992203, variance=0.00013262812476947826, skewness=-0.19731187330442684, kurtosis=-1.89115721445679)"
Folk_Travel_Data,M,variance in predictions,"DescribeResult(nobs=17615, minmax=(3.970603675765659e-06, 0.1268004849132), mean=0.0052985522496924115, variance=7.842462994354106e-05, skewness=5.665927434695011, kurtosis=46.19454178761335)"
Folk_Travel_Data,M,ambiguity,0.149
Folk_Travel_Data,M,discrepancy,0.108
Folk_Travel_Data,M,disagreement,"DescribeResult(nobs=10, minmax=(0.0, 0.07317834738425728), mean=0.029143603281387494, variance=0.0005198682401183406, skewness=0.18004490799236023, kurtosis=-0.3681252283591121)"
Folk_Travel_Data,a,variance in predictions,"DescribeResult(nobs=17615, minmax=(3.3436662532763442e-06, 0.0743798748208925), mean=0.0036226133594817666, variance=2.324297874223841e-05, skewness=5.159610344490815, kurtosis=44.53332459166505)"
Folk_Travel_Data,a,ambiguity,0.146
Folk_Travel_Data,a,discrepancy,0.102
Folk_Travel_Data,a,disagreement,"DescribeResult(nobs=190, minmax=(0.0, 0.0656277498651679), mean=0.0171406332402581, variance=0.0002779210492853129, skewness=0.8119806473535078, kurtosis=0.118728329175255)"
Folk_Travel_Data,b,variance in predictions,"DescribeResult(nobs=17615, minmax=(2.490651591981637e-07, 0.07205932553150864), mean=0.003217835106500367, variance=1.6844680636786634e-05, skewness=2.921372255932878, kurtosis=15.970997977998678)"
Folk_Travel_Data,b,ambiguity,0.105
Folk_Travel_Data,b,discrepancy,0.086
Folk_Travel_Data,b,disagreement,"DescribeResult(nobs=45, minmax=(0.0, 0.0365040165772517), mean=0.014993960152778171, variance=0.00022332539166285907, skewness=0.26755542253110964, kurtosis=-1.5747654738323136)"
Folk_Travel_Data,c,variance in predictions,"DescribeResult(nobs=17615, minmax=(1.471599281086181e-07, 0.0839743358726475), mean=0.0035996266665416373, variance=2.200009048252216e-05, skewness=3.0272481393268533, kurtosis=17.226512061487064)"
Folk_Travel_Data,c,ambiguity,0.103
Folk_Travel_Data,c,discrepancy,0.086
Folk_Travel_Data,c,disagreement,"DescribeResult(nobs=10, minmax=(0.0, 0.0365040165772517), mean=0.01674472735530387, variance=0.00024270613479916462, skewness=0.12756640330289876, kurtosis=-1.559528311342957)"
Folk_Travel_Data,d,variance in predictions,"DescribeResult(nobs=17615, minmax=(2.9942297492740437e-12, 0.17154551867417087), mean=0.0032319186932960524, variance=6.556921578849022e-05, skewness=7.780670293953693, kurtosis=84.57060184180787)"
Folk_Travel_Data,d,ambiguity,0.082
Folk_Travel_Data,d,discrepancy,0.08
Folk_Travel_Data,d,disagreement,"DescribeResult(nobs=6, minmax=(0.0, 0.029322433222629084), mean=0.013194621855100439, variance=0.00021149873529365857, skewness=0.0377353596991539, kurtosis=-1.9461231925858402)"
Folk_Mobility_Data,M,variance in predictions,"DescribeResult(nobs=6899, minmax=(0.0009093000068182925, 0.10893554252323472), mean=0.019431365652932353, variance=0.0001254743834260125, skewness=2.4401326526878133, kurtosis=10.146826868720446)"
Folk_Mobility_Data,M,ambiguity,0.419
Folk_Mobility_Data,M,discrepancy,0.289
Folk_Mobility_Data,M,disagreement,"DescribeResult(nobs=28, minmax=(7.247952453431905e-05, 0.3656592012756396), mean=0.14608765880781535, variance=0.015117221180449388, skewness=0.6111888192008149, kurtosis=-1.0725324455923413)"
Folk_Mobility_Data,a,variance in predictions,"DescribeResult(nobs=6899, minmax=(0.00010280027797833567, 0.06815348530811305), mean=0.007363585525436892, variance=3.673126021645274e-05, skewness=2.483404983649931, kurtosis=10.395529836759886)"
Folk_Mobility_Data,a,ambiguity,0.33
Folk_Mobility_Data,a,discrepancy,0.161
Folk_Mobility_Data,a,disagreement,"DescribeResult(nobs=1540, minmax=(0.0, 0.2069290425454809), mean=0.05033646501356873, variance=0.0016228800836540823, skewness=0.6111546093981535, kurtosis=-0.2753284463757124)"
Folk_Mobility_Data,b,variance in predictions,"DescribeResult(nobs=6899, minmax=(3.372601474116609e-05, 0.10728121229429327), mean=0.0060314185226623285, variance=4.5085529295248e-05, skewness=3.6934825363602184, kurtosis=24.159145053334438)"
Folk_Mobility_Data,b,ambiguity,0.268
Folk_Mobility_Data,b,discrepancy,0.148
Folk_Mobility_Data,b,disagreement,"DescribeResult(nobs=378, minmax=(0.0, 0.14735087337827063), mean=0.038882580485827566, variance=0.0011705878751336685, skewness=0.4952551090770426, kurtosis=-0.6190340980524076)"
Folk_Mobility_Data,c,variance in predictions,"DescribeResult(nobs=6899, minmax=(1.7302864218830377e-05, 0.12539177645717087), mean=0.006560919170048647, variance=6.732276235739869e-05, skewness=3.3819896701531262, kurtosis=17.561226546031644)"
Folk_Mobility_Data,c,ambiguity,0.192
Folk_Mobility_Data,c,discrepancy,0.132
Folk_Mobility_Data,c,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.09864463289120823), mean=0.039444392673355484, variance=0.0009221876303726615, skewness=0.5575651809067012, kurtosis=-0.8349177344228278)"
Folk_Mobility_Data,d,variance in predictions,"DescribeResult(nobs=6899, minmax=(6.957377410698302e-07, 0.046798715602877766), mean=0.003383466244710327, variance=2.6300484223456385e-05, skewness=3.5208343417494476, kurtosis=15.846726926770376)"
Folk_Mobility_Data,d,ambiguity,0.121
Folk_Mobility_Data,d,discrepancy,0.1
Folk_Mobility_Data,d,disagreement,"DescribeResult(nobs=21, minmax=(0.0, 0.05950568964267594), mean=0.0141852783731453, variance=0.00027943209802847166, skewness=1.8979171872832155, kurtosis=2.804734173915203)"
Community_Data,M,variance in predictions,"DescribeResult(nobs=399, minmax=(0.00040711558886375647, 0.04762493244237258), mean=0.005498733095913061, variance=5.201030764079486e-05, skewness=3.148009838849247, kurtosis=11.544899824113969)"
Community_Data,M,ambiguity,0.21
Community_Data,M,discrepancy,0.136
Community_Data,M,disagreement,"DescribeResult(nobs=55, minmax=(0.0, 0.09022556390977443), mean=0.03114604693552062, variance=0.0010184782818120548, skewness=0.6559516107829245, kurtosis=-1.1321890250356126)"
Community_Data,a,variance in predictions,"DescribeResult(nobs=399, minmax=(0.00037350054024197835, 0.023252050670631356), mean=0.003746595942953064, variance=1.1287059431201672e-05, skewness=2.2618260635381486, kurtosis=6.648573290286169)"
Community_Data,a,ambiguity,0.23
Community_Data,a,discrepancy,0.136
Community_Data,a,disagreement,"DescribeResult(nobs=5995, minmax=(0.0, 0.09147869674185463), mean=0.017808700232650014, variance=0.000372512456272207, skewness=1.2559857865646142, kurtosis=1.3487135578384688)"
Community_Data,b,variance in predictions,"DescribeResult(nobs=399, minmax=(2.0006745874403488e-05, 0.02260172642856907), mean=0.002708520762551799, variance=1.0016557815759689e-05, skewness=2.498162931676616, kurtosis=8.456736427239969)"
Community_Data,b,ambiguity,0.197
Community_Data,b,discrepancy,0.114
Community_Data,b,disagreement,"DescribeResult(nobs=1485, minmax=(0.0, 0.09147869674185463), mean=0.014159979072259774, variance=0.00030555810982844424, skewness=1.7638853727986978, kurtosis=3.7185753795369827)"
Community_Data,c,variance in predictions,"DescribeResult(nobs=399, minmax=(1.852841845571259e-05, 0.01879640900985636), mean=0.0033225065489087325, variance=1.332355310748023e-05, skewness=1.8122760620616094, kurtosis=3.0793648408069734)"
Community_Data,c,ambiguity,0.154
Community_Data,c,discrepancy,0.086
Community_Data,c,disagreement,"DescribeResult(nobs=55, minmax=(0.0, 0.05012531328320802), mean=0.015128730918204599, variance=0.0002568878420788899, skewness=0.8017393782032699, kurtosis=-0.5458415124369389)"
Community_Data,d,variance in predictions,"DescribeResult(nobs=399, minmax=(5.950352219628889e-05, 0.016626355383263052), mean=0.002432031231420263, variance=4.655933983367939e-06, skewness=2.3020872280469677, kurtosis=7.164261062599866)"
Community_Data,d,ambiguity,0.146
Community_Data,d,discrepancy,0.103
Community_Data,d,disagreement,"DescribeResult(nobs=45, minmax=(0.0, 0.03007518796992481), mean=0.007880813143971037, variance=0.00011696350569850108, skewness=0.8857225511733328, kurtosis=-0.9366391736556312)"
Compas_Data,M,variance in predictions,"DescribeResult(nobs=1235, minmax=(0.0008259812578510716, 0.15733655182356174), mean=0.019927732455070776, variance=0.00044277519617857725, skewness=3.18797284012196, kurtosis=12.072350300381283)"
Compas_Data,M,ambiguity,0.408
Compas_Data,M,discrepancy,0.309
Compas_Data,M,disagreement,"DescribeResult(nobs=36, minmax=(0.0, 0.3522267206477733), mean=0.13087044534412953, variance=0.009762909687797815, skewness=0.44164854612384263, kurtosis=-1.0630713263455491)"
Compas_Data,a,variance in predictions,"DescribeResult(nobs=1235, minmax=(0.0004449581714970263, 0.07818699227008455), mean=0.00917574273331049, variance=9.43993346510819e-05, skewness=2.8676248377622646, kurtosis=10.591155337594639)"
Compas_Data,a,ambiguity,0.368
Compas_Data,a,discrepancy,0.225
Compas_Data,a,disagreement,"DescribeResult(nobs=2556, minmax=(0.0, 0.2680161943319838), mean=0.06372003953545835, variance=0.002094585013223386, skewness=0.7661585333005938, kurtosis=0.6216063483348129)"
Compas_Data,b,variance in predictions,"DescribeResult(nobs=1235, minmax=(7.75270389100588e-05, 0.07705947568104139), mean=0.007283792257497762, variance=9.401734020041369e-05, skewness=2.693779505403856, kurtosis=9.604597781572018)"
Compas_Data,b,ambiguity,0.287
Compas_Data,b,discrepancy,0.189
Compas_Data,b,disagreement,"DescribeResult(nobs=630, minmax=(0.0, 0.18380566801619433), mean=0.051690122742754314, variance=0.0013318059783383606, skewness=0.48096677955807415, kurtosis=-0.4362783756151418)"
Compas_Data,c,variance in predictions,"DescribeResult(nobs=1235, minmax=(0.00014071275964346784, 0.06324798094128503), mean=0.006972574882152662, variance=6.384158335424459e-05, skewness=2.5329871058665394, kurtosis=9.57960993469658)"
Compas_Data,c,ambiguity,0.22
Compas_Data,c,discrepancy,0.161
Compas_Data,c,disagreement,"DescribeResult(nobs=36, minmax=(0.0, 0.15506072874493926), mean=0.04719973009446694, variance=0.0012442227493367488, skewness=0.8507666990244733, kurtosis=0.35247977783700657)"
Compas_Data,d,variance in predictions,"DescribeResult(nobs=1235, minmax=(0.00014102442892137434, 0.09067092971385764), mean=0.007780517953149497, variance=5.101687788924596e-05, skewness=4.114150593142542, kurtosis=32.805808848432804)"
Compas_Data,d,ambiguity,0.224
Compas_Data,d,discrepancy,0.154
Compas_Data,d,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.14251012145748987), mean=0.05563909774436091, variance=0.0020283155377977453, skewness=0.48331714762690364, kurtosis=-0.8721102803701921)"
Adult_Data,M,variance in predictions,"DescribeResult(nobs=6513, minmax=(0.0021039843082480006, 0.16342102384900198), mean=0.025126176687963103, variance=0.00020710315770006087, skewness=3.02328135333125, kurtosis=14.24206576682554)"
Adult_Data,M,ambiguity,0.467
Adult_Data,M,discrepancy,0.365
Adult_Data,M,disagreement,"DescribeResult(nobs=36, minmax=(0.0, 0.40445297504798466), mean=0.14911708253358927, variance=0.016377934147225888, skewness=0.955395067515166, kurtosis=-0.464318680671175)"
Adult_Data,a,variance in predictions,"DescribeResult(nobs=6513, minmax=(1.3491242142753028e-05, 0.10518054152534195), mean=0.009020117845705137, variance=0.00010163006061825274, skewness=2.3694317736796346, kurtosis=9.235190705559429)"
Adult_Data,a,ambiguity,0.335
Adult_Data,a,discrepancy,0.185
Adult_Data,a,disagreement,"DescribeResult(nobs=2556, minmax=(0.0, 0.17351247600767755), mean=0.05918752008746873, variance=0.0017318029213108338, skewness=0.4248348683104659, kurtosis=-0.6545232219124753)"
Adult_Data,b,variance in predictions,"DescribeResult(nobs=6513, minmax=(1.4691682178203272e-05, 0.08869703790277512), mean=0.008069016066230866, variance=8.380476800568082e-05, skewness=2.163333129450351, kurtosis=7.63947975594979)"
Adult_Data,b,ambiguity,0.275
Adult_Data,b,discrepancy,0.151
Adult_Data,b,disagreement,"DescribeResult(nobs=630, minmax=(0.0, 0.17351247600767755), mean=0.0544270785729519, variance=0.0016903474391593246, skewness=0.3853805547783346, kurtosis=-0.8378700823521128)"
Adult_Data,c,variance in predictions,"DescribeResult(nobs=6513, minmax=(7.080063908290157e-06, 0.15994729756247011), mean=0.012218667742114922, variance=0.00023308577929992538, skewness=2.435527568000246, kurtosis=9.482939972187244)"
Adult_Data,c,ambiguity,0.27
Adult_Data,c,discrepancy,0.151
Adult_Data,c,disagreement,"DescribeResult(nobs=36, minmax=(0.0, 0.16330134357005757), mean=0.0815611004478567, variance=0.0021399616333357364, skewness=-0.30879363247420194, kurtosis=-1.1171466919785953)"
Adult_Data,d,variance in predictions,"DescribeResult(nobs=6513, minmax=(2.5210478688779544e-06, 0.13112670665289655), mean=0.004224584287544913, variance=0.00011235155611234543, skewness=5.983137933456947, kurtosis=45.00526306052637)"
Adult_Data,d,ambiguity,0.131
Adult_Data,d,discrepancy,0.087
Adult_Data,d,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.056813819577735125), mean=0.020156292843432958, variance=0.00031858741594853674, skewness=0.5811997808083038, kurtosis=-0.5811111493857002)"
German_Data,M,variance in predictions,"DescribeResult(nobs=200, minmax=(0.00010903966991198575, 0.12685432341656697), mean=0.020648802841561745, variance=0.00048104555988087515, skewness=1.9897329082076176, kurtosis=4.5224725463394595)"
German_Data,M,ambiguity,0.362
German_Data,M,discrepancy,0.235
German_Data,M,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.2275), mean=0.12258928571428572, variance=0.004334482473544974, skewness=-0.30140838494507466, kurtosis=-1.1173621907359397)"
German_Data,a,variance in predictions,"DescribeResult(nobs=200, minmax=(9.714443319431456e-05, 0.04728594598896014), mean=0.010293663106815098, variance=5.9131733590192925e-05, skewness=1.4591864693694265, kurtosis=3.006243081372097)"
German_Data,a,ambiguity,0.375
German_Data,a,discrepancy,0.208
German_Data,a,disagreement,"DescribeResult(nobs=1540, minmax=(0.0, 0.225), mean=0.07281493506493507, variance=0.0021826736559412, skewness=0.41281297457125166, kurtosis=-0.19494176662318363)"
German_Data,b,variance in predictions,"DescribeResult(nobs=200, minmax=(8.823296460037481e-05, 0.035303742423474005), mean=0.008647218389818074, variance=4.9430777563620146e-05, skewness=1.3477645888770162, kurtosis=1.6682243602451123)"
German_Data,b,ambiguity,0.31
German_Data,b,discrepancy,0.183
German_Data,b,disagreement,"DescribeResult(nobs=378, minmax=(0.0, 0.16), mean=0.06114417989417989, variance=0.0018649174859304166, skewness=0.29687641076060534, kurtosis=-0.726602787755708)"
German_Data,c,variance in predictions,"DescribeResult(nobs=200, minmax=(0.00011316078934163435, 0.11676482271645738), mean=0.015132610764085359, variance=0.0002148941728618736, skewness=2.5875263651366383, kurtosis=11.720878412442268)"
German_Data,c,ambiguity,0.311
German_Data,c,discrepancy,0.199
German_Data,c,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.2), mean=0.10812500000000001, variance=0.003816030092592592, skewness=-0.10545739348127255, kurtosis=-1.0233805627720673)"
German_Data,d,variance in predictions,"DescribeResult(nobs=200, minmax=(8.447718855403954e-05, 0.07092866267656474), mean=0.00770877993155852, variance=8.637501888139558e-05, skewness=4.204483705943691, kurtosis=21.905138014208074)"
German_Data,d,ambiguity,0.209
German_Data,d,discrepancy,0.12
German_Data,d,disagreement,"DescribeResult(nobs=21, minmax=(0.0, 0.085), mean=0.03857142857142857, variance=0.0006491071428571428, skewness=-0.0931967316909746, kurtosis=-1.0880552249734636)"
Folk_Income_Data,M,variance in predictions,"DescribeResult(nobs=19785, minmax=(0.0017817079217861808, 0.14079055343224411), mean=0.024187894914080462, variance=0.00017858666929780685, skewness=2.6948444106850347, kurtosis=11.806523226815159)"
Folk_Income_Data,M,ambiguity,0.469
Folk_Income_Data,M,discrepancy,0.352
Folk_Income_Data,M,disagreement,"DescribeResult(nobs=36, minmax=(0.0, 0.37604245640636846), mean=0.15164757251565442, variance=0.013478779540789302, skewness=0.6658831494256707, kurtosis=-0.7645146040620823)"
Folk_Income_Data,a,variance in predictions,"DescribeResult(nobs=19785, minmax=(0.0005341856852922588, 0.08540506406431625), mean=0.009558614646542618, variance=7.031958100880227e-05, skewness=2.205283885628022, kurtosis=8.240512039700764)"
Folk_Income_Data,a,ambiguity,0.381
Folk_Income_Data,a,discrepancy,0.213
Folk_Income_Data,a,disagreement,"DescribeResult(nobs=2556, minmax=(0.0, 0.1995451099317665), mean=0.06428590920470173, variance=0.002166473905807102, skewness=0.4499715183695789, kurtosis=-0.5464378493742559)"
Folk_Income_Data,b,variance in predictions,"DescribeResult(nobs=19785, minmax=(2.2625556972616558e-05, 0.080648654772239), mean=0.008261110831603387, variance=6.413367319803747e-05, skewness=2.184740868141425, kurtosis=7.5141119840593475)"
Folk_Income_Data,b,ambiguity,0.307
Folk_Income_Data,b,discrepancy,0.182
Folk_Income_Data,b,disagreement,"DescribeResult(nobs=630, minmax=(0.0, 0.19423805913570888), mean=0.05577365408297933, variance=0.0022599406682411167, skewness=0.5667888849296685, kurtosis=-0.5510010060226915)"
Folk_Income_Data,c,variance in predictions,"DescribeResult(nobs=19785, minmax=(5.523371770661412e-06, 0.11659455596992363), mean=0.009681424414777155, variance=8.166509812865158e-05, skewness=2.515017505088509, kurtosis=12.980456558950124)"
Folk_Income_Data,c,ambiguity,0.244
Folk_Income_Data,c,discrepancy,0.137
Folk_Income_Data,c,disagreement,"DescribeResult(nobs=36, minmax=(0.015339903967652262, 0.12443770533232247), mean=0.07332504984135008, variance=0.0007528202623529892, skewness=-0.41484185820316266, kurtosis=-0.2668676038124538)"
Folk_Income_Data,d,variance in predictions,"DescribeResult(nobs=19785, minmax=(1.9929155253870618e-06, 0.05088037642714084), mean=0.002475463828690923, variance=1.0412222094025343e-05, skewness=3.998159869971265, kurtosis=27.60434626459241)"
Folk_Income_Data,d,ambiguity,0.13
Folk_Income_Data,d,discrepancy,0.102
Folk_Income_Data,d,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.06024766237048269), mean=0.010106863063648509, variance=0.00018434994811826648, skewness=1.8031128051576046, kurtosis=4.4248680232004025)"
Folk_Travel_Data,M,variance in predictions,"DescribeResult(nobs=17615, minmax=(3.970603675765659e-06, 0.1268004849132), mean=0.0052985522496924115, variance=7.842462994354106e-05, skewness=5.665927434695011, kurtosis=46.19454178761335)"
Folk_Travel_Data,M,ambiguity,0.149
Folk_Travel_Data,M,discrepancy,0.108
Folk_Travel_Data,M,disagreement,"DescribeResult(nobs=10, minmax=(0.0, 0.07317834738425728), mean=0.029143603281387494, variance=0.0005198682401183406, skewness=0.18004490799236023, kurtosis=-0.3681252283591121)"
Folk_Travel_Data,a,variance in predictions,"DescribeResult(nobs=17615, minmax=(3.3436662532763442e-06, 0.0743798748208925), mean=0.0036226133594817666, variance=2.324297874223841e-05, skewness=5.159610344490815, kurtosis=44.53332459166505)"
Folk_Travel_Data,a,ambiguity,0.146
Folk_Travel_Data,a,discrepancy,0.102
Folk_Travel_Data,a,disagreement,"DescribeResult(nobs=190, minmax=(0.0, 0.0656277498651679), mean=0.0171406332402581, variance=0.0002779210492853129, skewness=0.8119806473535078, kurtosis=0.118728329175255)"
Folk_Travel_Data,b,variance in predictions,"DescribeResult(nobs=17615, minmax=(2.490651591981637e-07, 0.07205932553150864), mean=0.003217835106500367, variance=1.6844680636786634e-05, skewness=2.921372255932878, kurtosis=15.970997977998678)"
Folk_Travel_Data,b,ambiguity,0.105
Folk_Travel_Data,b,discrepancy,0.086
Folk_Travel_Data,b,disagreement,"DescribeResult(nobs=45, minmax=(0.0, 0.0365040165772517), mean=0.014993960152778171, variance=0.00022332539166285907, skewness=0.26755542253110964, kurtosis=-1.5747654738323136)"
Folk_Travel_Data,c,variance in predictions,"DescribeResult(nobs=17615, minmax=(3.401505574915799e-07, 0.13570336960904975), mean=0.004956788871981395, variance=6.440347618829767e-05, skewness=6.3451784389420895, kurtosis=62.94301227082478)"
Folk_Travel_Data,c,ambiguity,0.133
Folk_Travel_Data,c,discrepancy,0.102
Folk_Travel_Data,c,disagreement,"DescribeResult(nobs=10, minmax=(0.0, 0.0656277498651679), mean=0.02790882511567174, variance=0.0004058872275279504, skewness=0.6445376791049064, kurtosis=-0.5645006025796686)"
Folk_Travel_Data,d,variance in predictions,"DescribeResult(nobs=17615, minmax=(5.348235899226687e-07, 0.18364705083939417), mean=0.00595036090819532, variance=0.00012342711682605763, skewness=6.995588398601078, kurtosis=71.80987448583575)"
Folk_Travel_Data,d,ambiguity,0.13
Folk_Travel_Data,d,discrepancy,0.102
Folk_Travel_Data,d,disagreement,"DescribeResult(nobs=6, minmax=(0.0, 0.0656277498651679), mean=0.03494280280450765, variance=0.000699648283880603, skewness=0.11414012443849873, kurtosis=-1.3621215246825866)"
Folk_Mobility_Data,M,variance in predictions,"DescribeResult(nobs=6899, minmax=(0.0009093000068182925, 0.10893554252323472), mean=0.019431365652932353, variance=0.0001254743834260125, skewness=2.4401326526878133, kurtosis=10.146826868720446)"
Folk_Mobility_Data,M,ambiguity,0.419
Folk_Mobility_Data,M,discrepancy,0.289
Folk_Mobility_Data,M,disagreement,"DescribeResult(nobs=28, minmax=(7.247952453431905e-05, 0.3656592012756396), mean=0.14608765880781535, variance=0.015117221180449388, skewness=0.6111888192008149, kurtosis=-1.0725324455923413)"
Folk_Mobility_Data,a,variance in predictions,"DescribeResult(nobs=6899, minmax=(0.00010280027797833567, 0.06815348530811305), mean=0.007363585525436892, variance=3.673126021645274e-05, skewness=2.483404983649931, kurtosis=10.395529836759886)"
Folk_Mobility_Data,a,ambiguity,0.33
Folk_Mobility_Data,a,discrepancy,0.161
Folk_Mobility_Data,a,disagreement,"DescribeResult(nobs=1540, minmax=(0.0, 0.2069290425454809), mean=0.05033646501356873, variance=0.0016228800836540823, skewness=0.6111546093981535, kurtosis=-0.2753284463757124)"
Folk_Mobility_Data,b,variance in predictions,"DescribeResult(nobs=6899, minmax=(3.372601474116609e-05, 0.10728121229429327), mean=0.0060314185226623285, variance=4.5085529295248e-05, skewness=3.6934825363602184, kurtosis=24.159145053334438)"
Folk_Mobility_Data,b,ambiguity,0.268
Folk_Mobility_Data,b,discrepancy,0.148
Folk_Mobility_Data,b,disagreement,"DescribeResult(nobs=378, minmax=(0.0, 0.14735087337827063), mean=0.038882580485827566, variance=0.0011705878751336685, skewness=0.4952551090770426, kurtosis=-0.6190340980524076)"
Folk_Mobility_Data,c,variance in predictions,"DescribeResult(nobs=6899, minmax=(2.6206746417469367e-05, 0.05806099390918044), mean=0.006232380850192084, variance=4.077089417032278e-05, skewness=1.9040800225704093, kurtosis=6.162635178391174)"
Folk_Mobility_Data,c,ambiguity,0.199
Folk_Mobility_Data,c,discrepancy,0.122
Folk_Mobility_Data,c,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.09820975574400231), mean=0.042654200188446754, variance=0.0010046972813641658, skewness=0.18949840145312008, kurtosis=-1.3589934741668421)"
Folk_Mobility_Data,d,variance in predictions,"DescribeResult(nobs=6899, minmax=(4.0256291976611897e-05, 0.07135737728272722), mean=0.006647515661556791, variance=5.018139360972363e-05, skewness=2.4774323972126457, kurtosis=7.973562791608346)"
Folk_Mobility_Data,d,ambiguity,0.202
Folk_Mobility_Data,d,discrepancy,0.146
Folk_Mobility_Data,d,disagreement,"DescribeResult(nobs=21, minmax=(0.0, 0.13640646517358845), mean=0.0417067892606053, variance=0.0021027538659849597, skewness=0.9259517532064901, kurtosis=-0.4984032519962036)"
Community_Data,M,variance in predictions,"DescribeResult(nobs=399, minmax=(0.00040711558886375647, 0.04762493244237258), mean=0.005498733095913061, variance=5.201030764079486e-05, skewness=3.148009838849247, kurtosis=11.544899824113969)"
Community_Data,M,ambiguity,0.21
Community_Data,M,discrepancy,0.136
Community_Data,M,disagreement,"DescribeResult(nobs=55, minmax=(0.0, 0.09022556390977443), mean=0.03114604693552062, variance=0.0010184782818120548, skewness=0.6559516107829245, kurtosis=-1.1321890250356126)"
Community_Data,a,variance in predictions,"DescribeResult(nobs=399, minmax=(0.00037350054024197835, 0.023252050670631356), mean=0.003746595942953064, variance=1.1287059431201672e-05, skewness=2.2618260635381486, kurtosis=6.648573290286169)"
